,title,video_id,channel_title,channel_id,description,date,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,country
1329,[일본반응] 한국에 대해 영잘알 일본인이 느끼는 솔직한 일본반응 해외반응 EP.09ㅣ엔구 원정대,b2vMZb3r4gk,엔구화상영어,UCdAc7q4b6u7llhYglqDcf6Q,한국 Kpop K음식 열풍에 대한 일본반응 어떨까? 요즘 일본에서는 10대부터 50대까지 모두 한국 00열풍??! 진짜 일본인이 느끼는 한국에 대한 솔직한 반응 가깝고도 ...,2021-01-11,83832.0,30.0,13.0,0.0,6.0,일본
1331,한국 국밥 먹고 감동한 필리핀 직원?! 이런 반응은 처음 ㅋㅋ 전생이 한국인??,vVIVtw73ESY,필브로의 필리핀 생존기,UCxZC-zJyzYTnCTLFot427Lg,한국 국밥 먹고 감동한 필리핀 직원?! 이런 반응은 처음 ㅋㅋ 전생이 한국인?? 필리핀 사람이 국밥이라? 필리핀에도 한류 때문에 한국음식이나 한국 드라마 케이팝이 ...,2021-01-12,66125.0,2814.0,33.0,0.0,399.0,필리핀
1332,중국반응│한국과 일본 경제를 비교하는 뉴스에 나타난 친한파(亲韩派) 중국 네티즌들│한국이 이미 일본을 넘었는데 뭐라는거야│중국어로[路],pOtPBFag8wM,중국어로 [路],UCxV6HwAqpzkAN1J2s9LolgQ,"딜로이트(Deloitte)는 세계 4대 회계법인 중에 하나 입니다 ​​딜로이트는 150개국에서 회계,세무, 금융, 컨설팅 등에 대한 서비스를 제공하는데 중국의 시나 닷컴을 ...",2021-01-08,347979.0,8972.0,245.0,0.0,789.0,중국 일본
1334,중국반응│한국에 대한 거짓뉴스와 선동 당하고 있는 중국인들에게 날리는 일침│한국인들은 자신의 것을 아끼고 소중이 여긴다│참교육 사이다 뉴스와 댓글반응│중국어로[路],RssKR3uWeiM,중국어로 [路],UCxV6HwAqpzkAN1J2s9LolgQ,우리가 들어보지도 않은 거짓뉴스들이 중국의 뉴스나 인터넷에 떠돌아다닌다는 것은 ​유튜브나 다른 매체를 통해 익히 들어본 이야기들 입니다 오늘은 이러한 가짜 ...,2021-01-11,583967.0,12812.0,354.0,0.0,1801.0,중국
1335,&#39;욱일기&#39;의 실체를 안 외국인들의 엇갈린 반응! 일본이 책임지고 청산해야 한다? | #외계통신 #사피엔스,pxPb2F15GSk,사피엔스 스튜디오,UC-9RQCJ0gS_Kgt7J0SVrE8w,"외계통신 EP.17-04 외계통신 (2018) 한국사회의 다양한 이슈를 제 3자인 다국적 외신들의 시점으로 풀어보는 외신 버라이어티 《책 읽어 드립니다》, 《어쩌다 어른》 ...",2021-01-07,287266.0,2739.0,132.0,0.0,2397.0,일본
1337,"&quot;한국 중심으로 뭉치자&quot;는 영국과 미국, 그리고 독일과 러시아 등 강대국들의 새판짜기 돌입에 당혹감을 감추지 못하고 있는 일본상황",03D5tQq2p8U,구네스북,UClHJcrFMOxCEPjjg6WlTmPw,"""한국 중심으로 뭉치자""는 영국과 미국, 그리고 독일과 러시아 등 강대국들의 새판짜기 돌입에 당혹감을 감추지 못하고 있는 일본상황을 다뤘습니다. [본 채널은 연합 ...",2021-01-08,487999.0,13841.0,348.0,0.0,653.0,러시아 일본 영국 미국 독일
1338,"[일본반응] 출장 왔다가 돌아가기 싫다는 일본인 &quot;그냥 한국에 눌러앉아 살고싶네, 일본은 한국보다 나은점이 없어&quot;",zj523Y0cBkw,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"안녕하세요, 최고의 대한민국을 꿈꾸는 BE THE TOP 비더탑입니다. 오늘은 한국으로 출장을 왔던 일본인이 돌아가기 싫다며 한국에 눌러앉아 살고 싶다고 하는 이유 ...",2021-01-10,376059.0,9694.0,232.0,0.0,737.0,일본
1339,일본편의점 한국음식을 처음 먹어본 일본여자 반응!? [ 한일커플 한일부부 ] 외국인,NinsY4oeVXI,Tokyo Couple,UC42bpP43b5FBLKl6z3IAJ1g,대한민국을 외칠수밖에 없었습니다. =================== ☆상진 - 한국인 / 흙수저 -좌우명: 가슴 뛰는 삶을 살고 있는가? -세계일주: 52개국 / 거주국: 한국→ ...,2021-01-11,21236.0,1141.0,18.0,0.0,91.0,일본
1342,이란 유조선 나포! 청해부대 최영함 파견! 한국 군대 해외반응 어떨까? #이란유조선 #최영함 #청해부대 #해외반응,NgDhlLhanzc,글로리K,UChl9hGM7VbhKEmnE0ClUsoA,이란이 우리나라 유조선을 호르무즈에서 나포했습니다. 과연 우리나라 군대에 대한 해외반응은 어떨까요? Music provided by 브금대통령 Track : Uncharted ...,2021-01-06,12438.0,140.0,15.0,0.0,14.0,이란
1343,"[일본반응] 한국 김치수출량의 절반을 차지하는 일본 국민들의 반응 &quot;김치는 이제 일본의 국민반찬이야, 한국산은 품귀현상까지 생겼다&quot;",Dl3FOitl5a8,비더탑,UC_DlOTCne_apIyOOOb-VIVw,"대한민국 사람들의 식탁에서 빠지지 않는 반찬이 있습니다. 그것은 바로 김치인데요. 유산균이 풍부하여 건강에 좋은 김치는우리나라뿐만이 아니라, 세계 각지로도 ...",2021-01-06,58158.0,1888.0,34.0,0.0,228.0,일본
