,video_id,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
1730,7Xf_EKjKeU8,88547,2392,42,0,248
1731,2E8PH82cb8U,178129,9020,55,0,384
1732,Zj9OcNIceTU,881400,15668,200,0,438
1733,jCrVFZl_EsU,216881,3465,83,0,334
1734,C5I-VurjlKQ,827660,15820,423,0,1004
1735,r1Z900cIPSk,2000497,20764,702,0,3197
1736,CpaxBdfpOkk,642375,12534,189,0,370
1737,JrE-7osUtRU,485999,10596,261,0,2248
1738,aDoCE2flDVw,1202866,13832,362,0,1627
1739,qdP8gBtFH1w,273958,5600,150,0,664
1740,f28fvn5RwJo,202840,5095,133,0,484
1741,yVFyzwm7K88,49334,1290,13,0,129
1742,ypsrBDvvQSM,102873,2822,59,0,309
1743,Kgps3Lv7hCU,1434038,18335,680,0,5239
1744,4_uai8xLWQA,154106,4088,56,0,276
1745,jkyPsX1EnGo,441603,6031,175,0,2087
1746,tQg8gJgMj2I,836239,22576,648,0,1647
1747,ltxokl1ChUA,303707,6475,163,0,1828
1748,fn3Z_pu7lNk,419604,9014,210,0,1046
1749,JdSTQB4i_NQ,123241,2801,42,0,295
1750,73VDKzAPZ-8,682271,11189,338,0,780
1751,A1zLo6w5t2Y,2470,52,7,0,10
1752,HVqaHeH78IY,60320,1809,30,0,94
1753,B5yClXe2kgI,38501,1352,22,0,113
1754,qtAmKhgHdGg,195410,4866,174,0,139
1755,Fd44GgGJsz4,32364,855,21,0,124
1756,yKVy91V88oY,54860,1797,38,0,177
1757,ScmGiRYufLE,207880,4905,71,0,213
1758,zYMbSsrRdaE,437730,9537,196,0,180
1759,S-cVG1t1FFw,78573,1943,26,0,211
1760,5q9psEvrO-Y,5724,71,17,0,42
1761,snQUS6nuBFc,331575,4663,96,0,949
1762,HxrXKQ-U8Wg,13072,376,14,0,31
1763,IQCjYhFhwCg,252378,7996,156,0,324
1764,rjwedrE7lII,51791,1328,43,0,219
1765,c67VXOgax6Q,227718,3743,93,0,269
1766,7dScUmjub7E,16074,673,16,0,107
1767,JXWGenzl1k8,353535,5703,141,0,221
