,title,video_id,channel_title,channel_id,description,date
23,[해외반응] &quot;필리핀 베트남 보다 최악의 나라&quot; 한국은 쓰레기통이라 무시했던 영국이 이제는 눈물 흘리며 사과하는 이유,6fdcm4-U1N8,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #해외반응#베트남반응#외신반응.,2020-07-01T05:30:01Z
24,(해외반응)한국어를 알게 되면 수천개의 문이 열린다/한국에서 외국인이 한국어를 구사함으로 어떤 장점과 단점이 있었을까요?  #해외반응 #네티즌반응 #외국인반응,xc1ChMj-9UY,헐이슈 TV,UCcyRTiuJ24CsOCRZdGvx-qw,이번 영상에서는 한국어를 배운 외국인들이 한국에서의 느낀 경험에 관해서 살펴보았습니다. 과연 한국어를 구사함으로 그들은 어떤 장점과 단점이 있었을까요?,2020-07-07T00:15:01Z
25,[해외반응] 한국 이용해 세계를 상대로 사기 치다 적발된 베트남 언론사에서 한국 기사가 모두 삭제된 이유,XsXTzsyh_m4,존크TV,UCitaXlLp5Oy0aKmH2_y0xFw,구독하기 : https://bit.ly/39beO6A 영상을 시청해주셔서 감사합니다. #베트남#베트남반응#해외반응.,2020-07-02T03:08:41Z
26,(해외반응) 한국으로 역이민 하고 싶다! 재미교포들의 진지한 고민   #해외반응 #네티즌반응 #외국인반응,87VNYiPNVMw,헐이슈 TV,UCcyRTiuJ24CsOCRZdGvx-qw,이번 영상에서는 불안한 미국 상황속에서 여러가지로 어려움을 겪고 있는 재미교포들의 역이민에 대한 생각을 살펴봅니다...레딧 사이트에서 한 재미교포가 한국으로 ...,2020-07-04T02:00:00Z
27,(해외반응) 한국TV프로그램을 본 일본인들 반응/ 일본인 스스로가 진실을 말해도 목소리가 묻힌다.          #해외반응 #일본반응 #네티즌반응,xBAgNyGvuFQ,헐이슈 TV,UCcyRTiuJ24CsOCRZdGvx-qw,이번영상에서는 한국의 TV 프로그램을 본 한 일본인이 트위터에 글을 올려 많은 일본인들의 호응을 받고 있는 소식을 살펴봅니다. 그리고 일본매체에서 소개되었던 2 ...,2020-07-01T00:15:04Z
28,해외반응 일본반응 한국의 KFX 전투기 극초음속 미사일로 무장! 충격 경악한 일본 ! 세계 강대국 한국군 !,lCR94v1_jIE,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 한국 공군이 개발하는 첨단 KFX 전투기 에 탑재되는 극초음속 미사일 ! 현무4 미사일 그밖에도 항공모함 대한민국의 놀라운 자랑 ...,2020-07-04T08:07:44Z
29,[일본반응] 아이즈원 미야와키 사쿠라 한국에서 급성장 일본 네티즌 반응 &#39;성형운운은 초딩수준 뇌야&#39; (IZ*ONE Miyawaki Sakura),E9l3uljY4fQ,세계댓글,UC8RQXRTUOe_sNqqKgRJd-DQ,[세계댓글] 재미있게 보셨다면 좋아요 구독 부탁드리며 재미있게 봐주셔서 감사합니다. 구독하기 ☞ http://bitly.kr/SpVV5uJivIZ 야후제팬에 아이즈원 미야와키 사쿠라 ...,2020-07-03T03:39:26Z
30,"[해외반응] 미국,스페인 은 물론,일본까지도 한국의 KBO 리그의 교본을 따라서 운영을 하고 있다는데... 그 자세한 내막과 미국 ESPN 이 밝힌 한국야구 인기의 실상은?",VEa8atV7NL8,세상통 해외반응,UCorzNmtkrbCgjF9kpP8werg,"[해외반응] 미국,스페인 은 물론,일본까지도 한국의 KBO 리그의 교본을 따라서 운영을 하고 있다는데... 그 자세한 내막과 미국 ESPN 이 밝힌 한국야구 인기의 실상은 ...",2020-07-05T02:31:18Z
31,한국음식을 먹은 그들의 알 수 없는 반응,47-U1mtBeeQ,우프리 TV Woofree,UCch65GDpkg_mgoDEt56xQlw,"정말 맛있어서 맛있다고 한건지, 그냥 립서비스로 맛있다고 한건지 아직도 의문. Music provided by 브금대통령 Track : Ready To Nap ...",2020-07-05T06:52:04Z
32,해외반응 일본반응 한국의 미래 첨단 전기차 배터리 기술은 세계 최고 ! 깜짝놀란 일본 ! 기업 경제 순위 !,F2t0a-w7--Y,대고구려제국,UCZcAFmohWEhKP2XA3Zf766g,해외반응 #외국인반응 #네티즌반응 한국의 반도체 다음으로 중요한 미래 먹거리 산업 전기차 배터리 ! 파나소닉을 이기고 일본 정복 까지 가능한 상황이군요 아베 가 ...,2020-07-01T08:12:12Z
