,title,video_id,date
87,막걸리 빚는 미국 남자✨ 한국 전통주 소믈리에가 된 사나이 [무엇이든 물어보살],VohnOolm2oI,<class 'datetime.date'>
88,"(해외반응),일본반응,한국의 블랙핑크 가 해외에폭발적으로일으키고 있는 한복 신드롬에 질투를넘어서 한복의역사마저 날조를... HOW YOU LIKE THAT 일본 해외 네티즌 반응.",TcOqANaZfg0,<class 'datetime.date'>
89,"넷플릭스 한국 드라마, 콘텐츠 해외반응 폭발적! 전세계 차트 점령한 상황",E24U0w76mDE,<class 'datetime.date'>
90,해외반응 일본반응 한국의 KFX 전투기를 이기겠다는 일본의 전투기 개발 시작부터 멸망 위기 ! F-35 100대 구매 한국의 기회 세계 강대국 한국군 !,b_4-oac0H0Q,<class 'datetime.date'>
91,[일본반응] 스타가 되려고 한국행하는 일본인들 &quot;일본의 미래는 밝지않다&quot;,vnsp7tidqgY,<class 'datetime.date'>
92,[페루반응] 한국에 수출되는 자국 아보카도 소식에 애국심 폭발하는 페루 네티즌들,HkoTDE2j_Ik,<class 'datetime.date'>
93,[베트남현지반응] EU-베트남 FTA 체결 소식에 한국 기업에게 애원하는 배은망덕 베트남 국민반응,qPHWF-ZCGUw,<class 'datetime.date'>
94,"[일본반응]한국 영화 &#39;말모이&#39; 일본에서 개봉 돼 화제 &quot;새삼 알았다... 조선어 말살의 흔적&quot;, 일본정부가 숨기려던 일제의 흉악함의 증거라는 일본 네티즌",LqCLP9lgOnE,<class 'datetime.date'>
95,[최종회] 김예지 - TOMBOY | 세미파이널 | 보이스 코리아 2020,vSRG-jH24UU,<class 'datetime.date'>
96,한국 코로나19 확산세에 대한 해외 언론 반응,jhF-tZ9zGtY,<class 'datetime.date'>
97,문 대통령 &quot;일본과 다른 &#39;한국의 길&#39; 가겠다&quot; (2020.07.09/5MBC뉴스),FwX6s0S9OvI,<class 'datetime.date'>
98,[KBO 해외반응] 브랜든 반즈의 자가격리는 한국 맥주와 함께!,EI7QCNVXnK0,<class 'datetime.date'>
99,"[일본 반응] &#39;지구조차 도와주지 않는 일본, 이제는 한국을 보고 배워야할 때&#39;  건국이래 가장 큰 위기에 봉착했다는 일본의 현재 상황",YPWj6W-Jz8w,<class 'datetime.date'>
100,[해외반응] 한국 레전드방송사고를 보고 빵터진 외국인 반응,lc2ZktSTSkQ,<class 'datetime.date'>
101,"전투식량, 한국과자 먹어본 미국인 반응, 한국과자 반응, /국제커플/미국 일상 브이로그/외국에서 살기/외국 브이로그,미국엄마와 아기/ 미국인와이프 한미국제커플 한국아빠미국엄마",jJQIRe4dNEU,<class 'datetime.date'>
102,한국의 &#39;매너손&#39;을 처음 본 미국인 반응,yPShH5UJOKU,<class 'datetime.date'>
103,한국이 적인가?#일본방송#일본반응#한일관계#한일자막,DV4Kr0PkF8E,<class 'datetime.date'>
104,한국의 무인가게를 처음 직접 가본 미국인 반응,IQFg-CdoH6M,<class 'datetime.date'>
105,&quot;한국 서울의 밤하늘&quot; 미국에서 재조명되자 충격받은 해외반응 &quot;한국이니까 가능하다&quot; 상반되는 일본반응,mnYRkTk2wZM,<class 'datetime.date'>
106,"뉴욕타임즈가 극찬한 한국라면을 먹어본 외국인 반응 (ft. 일본라면, 싱가폴라면)",z6d4y1vIPN8,<class 'datetime.date'>
107,대만반응│대만이 본 한국이라는 나라│한국을 분석하며 애타는 대만│별걸 다 분석하는 대만│중국어로[路],-KIRUBI5I3g,<class 'datetime.date'>
